ZIP Code,Home1MCount,HomeValueGrowth,Recreational Vessel Count,Area,Median_Income,Mean_Income,Private School Count,Wealth Score,Rank
33446,494,0,74,Delray Beach,74995,74995,0,1.766023666,105
33912,88,0,65,Fort Myers,101043,101043,2,1.764088368,106
33196,11,0,52,Miami,93370,93370,2,1.76267307,107
33626,42,0,43,Tampa,123580,123580,0,1.756826233,108
33014,88,0,66,Hialeah,74934,74934,3,1.755652191,109
33756,313,0,68,Clearwater,63990,63990,2,1.754734578,110
32092,30,0,57,Saint Augustine,122655,122655,0,1.748575387,111
33707,243,0,218,Saint Petersburg,68560,68560,1,1.745941866,112
34638,50,0,20,Land O'Lakes,117931,117931,1,1.745040895,113
34209,181,0,88,Bradenton,80829,80829,2,1.742796157,114
33486,186,0,100,Boca Raton,113575,113575,0,1.74244578,115
33050,212,0,399,Marathon,83243,83243,0,1.740292308,116
32308,89,0,24,Tallahassee,73125,73125,3,1.73975743,117
33028,9,0,32,Pembroke Pines,111553,111553,2,1.739044124,118
32712,112,0,29,Apopka,106264,106264,1,1.737828336,119
33138,152,0,109,Miami,71518,71518,2,1.731892425,120
32217,96,0,47,Jacksonville,69742,69742,3,1.72679343,121
34997,213,0,343,Stuart,75705,75705,0,1.722057314,122
34758,67,0,4,Kissimmee,67128,67128,4,1.719501863,123
34655,54,0,29,New Port Richey,85107,85107,2,1.718904375,124
32080,232,0,124,Saint Augustine,91201,91201,1,1.714863186,125
33611,182,0,69,Tampa,82804,82804,0,1.71026235,126
32081,0,0,16,Ponte Vedra,128316,128316,0,1.708825041,127
34688,50,0,37,Tarpon Springs,111090,111090,2,1.699701058,128
34109,333,0,75,Naples,91073,91073,0,1.692160579,129
32541,246,0,217,Destin,93004,93004,0,1.68721835,130
34953,55,0,47,Port Saint Lucie,81028,81028,2,1.684182188,131
33914,100,0,414,Cape Coral,75557,75557,0,1.683301608,132
32003,120,0,83,Fleming Island,119046,119046,0,1.679615192,133
33154,456,0,76,Miami Beach,87806,87806,0,1.677072969,134
33609,251,0,60,Tampa,105083,105083,0,1.667227912,135
33624,98,0,27,Tampa,81039,81039,2,1.667049163,136
33019,418,0,122,Hollywood,94824,94824,0,1.66655199,137
32683,0,0,1,Otter Creek,63361,63361,1,1.657620522,138
33328,98,0,54,Fort Lauderdale,127386,127386,0,1.652790572,139
32819,196,0,43,Orlando,94386,94386,1,1.651161047,140
33063,24,0,22,Pompano Beach,62930,62930,3,1.644417124,141
34231,223,0,115,Sarasota,69721,69721,1,1.63228272,142
32561,92,0,124,Gulf Breeze,119042,119042,0,1.632057722,143
33478,69,0,62,Jupiter,142109,142109,0,1.630887991,144
32225,164,0,155,Jacksonville,87715,87715,0,1.629191107,145
32507,87,0,227,Pensacola,69802,69802,1,1.625396753,146
33467,100,0,68,Lake Worth,93053,93053,0,1.625347075,147
33715,151,0,233,Saint Petersburg,105068,105068,0,1.619980415,148
32903,95,0,72,Indialantic,101549,101549,1,1.618201253,149
32931,31,0,104,Cocoa Beach,84769,84769,2,1.617332409,150
32223,187,0,73,Jacksonville,91599,91599,1,1.616390738,151
33018,44,0,62,Hialeah,90805,90805,1,1.615594436,152
32832,232,0,13,Orlando,115398,115398,0,1.613309911,153
32708,43,0,32,Winter Springs,87889,87889,1,1.610544081,154
33323,22,0,26,Fort Lauderdale,109569,109569,1,1.609393246,155
33304,203,0,167,Fort Lauderdale,84951,84951,0,1.607448363,156
33412,110,0,69,West Palm Beach,134818,134818,0,1.605540815,157
33015,13,0,50,Hialeah,73609,73609,2,1.602515935,158
34212,67,0,51,Bradenton,119298,119298,0,1.600951386,159
34135,339,0,80,Bonita Springs,86731,86731,0,1.592440475,160
33498,44,0,26,Boca Raton,129615,129615,0,1.590933773,161
33578,43,0,20,Riverview,80223,80223,2,1.587084511,162
32955,65,0,90,Rockledge,85133,85133,1,1.586555083,163
33904,103,0,403,Cape Coral,66933,66933,0,1.584518144,164
33024,110,0,41,Hollywood,76501,76501,1,1.573737155,165
32766,29,0,28,Oviedo,146215,146215,0,1.573629224,166
32258,22,0,41,Jacksonville,99764,99764,1,1.572232675,167
33703,63,0,105,Saint Petersburg,96795,96795,0,1.569957448,168
34760,0,0,0,Oakland,136042,136042,0,1.56892582,169
33548,52,0,15,Lutz,124548,124548,1,1.567297009,170
32216,0,0,35,Jacksonville,63253,63253,3,1.564787335,171
34240,146,0,43,Sarasota,126048,126048,0,1.564356344,172
33326,29,0,47,Fort Lauderdale,113935,113935,0,1.560868962,173
33449,60,0,21,Lake Worth,149159,149159,0,1.559478478,174
32952,147,0,164,Merritt Island,98651,98651,0,1.55727985,175
33129,207,0,78,Miami,102969,102969,0,1.554770647,176
32317,14,0,16,Tallahassee,121802,121802,1,1.553247212,177
34275,336,0,77,Nokomis,84503,84503,0,1.547821299,178
33315,17,0,189,Fort Lauderdale,90760,90760,1,1.542249555,179
33701,207,0,208,Saint Petersburg,69098,69098,0,1.541595158,180
34219,18,0,57,Parrish,104258,104258,1,1.535331636,181
33547,13,0,28,Lithia,121769,121769,0,1.535221589,182
32174,132,0,102,Ormond Beach,67817,67817,1,1.534155288,183
33319,52,0,18,Fort Lauderdale,55071,55071,3,1.53087924,184
33928,132,0,44,Estero,100264,100264,0,1.529174898,185
32127,121,0,89,Port Orange,65260,65260,2,1.518560086,186
33473,0,0,19,Boynton Beach,148776,148776,0,1.514503322,187
34695,30,0,36,Safety Harbor,96138,96138,1,1.512655244,188
33813,31,0,39,Lakeland,96723,96723,1,1.512409521,189
34683,170,0,98,Palm Harbor,90037,90037,0,1.511153456,190
32814,117,0,12,Orlando,129712,129712,0,1.510031889,191
33470,38,0,36,Loxahatchee,116758,116758,0,1.508497303,192
33543,27,0,17,Wesley Chapel,107565,107565,0,1.507781194,193
32256,77,0,55,Jacksonville,73203,73203,1,1.500851304,194
32169,164,0,70,New Smyrna Beach,99260,99260,0,1.498955898,195
33767,166,0,194,Clearwater Beach,105662,105662,0,1.495456624,196
32361,0,0,0,Wacissa,120000,120000,0,1.494087069,197
33036,246,0,231,Islamorada,88214,88214,0,1.489630381,198
33584,148,0,15,Seffner,68330,68330,2,1.489438503,199
33137,185,0,57,Miami,82798,82798,0,1.488374192,200
32953,44,0,100,Merritt Island,84248,84248,1,1.476854619,201
32461,11,0,3,Inlet Beach,146393,146393,1,1.476782555,202
32934,37,0,27,Melbourne,102871,102871,1,1.47470538,203
33463,0,0,21,Lake Worth,68697,68697,2,1.469998583,204
34744,45,0,21,Kissimmee,69837,69837,2,1.467945403,205
32226,0,0,56,Jacksonville,109375,109375,1,1.466645998,206
33708,131,0,192,Saint Petersburg,83773,83773,0,1.466359135,207
32095,13,0,33,Saint Augustine,124556,124556,0,1.463329765,208
33317,26,0,104,Fort Lauderdale,84239,84239,1,1.462486686,209
33305,260,0,90,Fort Lauderdale,89944,89944,0,1.457849513,210
34238,136,0,47,Sarasota,94583,94583,0,1.457434348,211
32233,267,0,56,Atlantic Beach,81586,81586,0,1.456625949,212
33193,16,0,21,Miami,74646,74646,2,1.455714653,213
33786,112,0,33,Belleair Beach,140417,140417,0,1.450068463,214
33023,21,0,23,Hollywood,70003,70003,2,1.448534316,215
34994,147,0,214,Stuart,62895,62895,0,1.444716045,216
33713,36,0,23,Saint Petersburg,69704,69704,2,1.441958638,217
33071,94,0,53,Coral Springs,100279,100279,0,1.441353382,218
33016,32,0,78,Hialeah,56633,56633,2,1.440580886,219
33602,102,0,67,Tampa,88569,88569,0,1.440531134,220
33544,0,0,17,Wesley Chapel,103134,103134,1,1.433885893,221
34293,95,0,71,Venice,87543,87543,0,1.429857334,222
